name,country_code
Dubai,AE
Umm Al Quwain City,AE
Ras Al Khaimah City,AE
Abu Dhabi,AE
Khawr Fakkan,AE
Sarande,AL
Luanda,AO
Benguela,AO
Namibe,AO
Porto Amboim,AO
Mar del Plata,AR
Pinamar,AR
Villa Gesell,AR
Sydney,AU
Gold Coast,AU
Melbourne,AU
Perth,AU
Brisbane,AU
Adelaide,AU
Cairns,AU
Rio de Janeiro,BR
Salvador,BR
Fortaleza,BR
Recife,BR
Natal,BR
Florianopolis,BR
Vancouver,CA
Victoria,CA
Toronto,CA
Valparaiso,CL
Vina del Mar,CL
Douala,CM
Kribi,CM
Limbe,CM
Cartagena,CO
Santa Marta,CO
Barranquilla,CO
Limon,CR
Tamarindo,CR
Jaco,CR
Manuel Antonio,CR
Barcelona,ES
Valencia,ES
Malaga,ES
Alicante,ES
San Sebastian,ES
Marbella,ES
Cadiz,ES
Nice,FR
Cannes,FR
Marseille,FR
Biarritz,FR
Saint-Tropez,FR
Le Havre,FR
Brighton,GB
Bournemouth,GB
Blackpool,GB
Liverpool,GB
Newcastle,GB
Swansea,GB
Goa,IN
Mumbai,IN
Chennai,IN
Puducherry,IN
Naples,IT
Venice,IT
Rimini,IT
Genoa,IT
Amalfi,IT
Cinque Terre,IT
Cancun,MX
Acapulco,MX
Puerto Vallarta,MX
Mazatlan,MX
Tulum,MX
Cozumel,MX
Boracay,PH
Cebu,PH
Palawan,PH
Davao City,PH
Manila,PH
Phuket,TH
Pattaya,TH
Krabi,TH
Hua Hin,TH
Koh Samui,TH
Miami,US
Los Angeles,US
San Diego,US
Honolulu,US
Santa Monica,US
Venice,US
Malibu,US
Naples,US
Clearwater,US
Isla Margarita,VE
Coro,VE
Cape Town,ZA
Durban,ZA
Port Elizabeth,ZA
East London,ZA
Mossel Bay,ZA
