departure_city,departure_airport,departure_airport_code,departure_country,departure_country_code,destination_city,destination_airport,destination_airport_code,destination_country,destination_country_code,departure_date,duration_code,duration,carrier_code,flight_number,departure_time,arrival_time,stops,price
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-03,PT1H,3600.0,AH,6006,2024-07-03T18:30:00,2024-07-03T19:30:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-03,PT1H15M,4500.0,AH,6170,2024-07-03T07:00:00,2024-07-03T08:15:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-03,PT1H15M,4500.0,AH,6176,2024-07-03T12:00:00,2024-07-03T13:15:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-04,PT1H,3600.0,AH,6000,2024-07-04T07:00:00,2024-07-04T08:00:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-04,PT1H,3600.0,AH,6006,2024-07-04T19:15:00,2024-07-04T20:15:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-04,PT1H15M,4500.0,AH,6170,2024-07-04T07:00:00,2024-07-04T08:15:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-04,PT1H15M,4500.0,AH,6172,2024-07-04T11:00:00,2024-07-04T12:15:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-04,PT1H15M,4500.0,AH,6176,2024-07-04T16:20:00,2024-07-04T17:35:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-05,PT1H,3600.0,AH,6006,2024-07-05T18:30:00,2024-07-05T19:30:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-05,PT1H15M,4500.0,AH,6170,2024-07-05T07:00:00,2024-07-05T08:15:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-05,PT1H15M,4500.0,AH,6176,2024-07-05T12:00:00,2024-07-05T13:15:00,0,33.91
Algiers,Houari Boumediene Airport,ALG,Algeria,DZ,Annaba,Rabah Bitat Airport,AAE,Algeria,DZ,2024-07-05,PT2H50M,4200.0,SF,2374,2024-07-05T09:00:00,2024-07-05T10:10:00,0,54.09
